run_id,model,bin,conf,acc,size
7,QSVM,5,0.4574810980056993,0.8163265306122449,2254
7,QSVM,6,0.7832193949815698,0.7515527950310559,2254
7,QSVM,7,0.9583990777316358,0.9565217391304348,2254
7,QSVM,8,0.9836169635003751,0.9764862466725821,2254
7,QSVM,9,0.9960684427303125,0.9911426040744021,2258
7,SVM-RBF,0,0.01944545560899858,0.015971606033717833,2254
7,SVM-RBF,1,0.026329293190465917,0.1512866015971606,2254
7,SVM-RBF,2,0.05412155648720926,0.17036379769299023,2254
7,SVM-RBF,3,0.07179453052950337,0.274622892635315,2254
7,SVM-RBF,4,0.2757096900825187,0.7755102040816326,2254
7,SVM-RBF,5,0.48812533196027275,0.5913930789707187,2254
7,SVM-RBF,6,0.7132309052647298,0.7528837622005324,2254
7,SVM-RBF,7,0.9819259925381796,0.974267968056788,2254
7,SVM-RBF,8,0.9991043191907142,0.9977817213842058,2254
7,SVM-RBF,9,0.9996229065037966,0.9875996457041629,2258
7,RandomForest,0,4.1455879757450395e-57,0.0075421472937000885,2254
7,RandomForest,1,4.1455879757450395e-57,0.00709849157054126,2254
7,RandomForest,2,8.004548693458802e-19,0.027950310559006212,2254
