ece_full,ece_rare,brier_full,brier_rare,auc_pr,run_id,model,calibrator,temperature
0.14935301408714505,0.5646533918782031,0.15101911447648586,0.4750131524168584,0.9169166666841271,2,QSVM,isotonic,
0.15100977127488482,0.5715102064966249,0.15412689656411374,0.4818239817520486,0.925812512380229,2,QSVM,temperature,0.27263818232604276
0.11304177804716525,0.504314806289356,0.1369329205858858,0.2823282526863731,0.9230814235278848,2,SVM-RBF,none,
0.13487152011291975,0.5290522097964723,0.15497942009990157,0.35577087011139197,0.9230814235278848,2,SVM-RBF,platt,
0.14539006736385468,0.5272256256544096,0.1572334784562791,0.36123406286177945,0.9151129955739365,2,SVM-RBF,isotonic,
0.13300501259808434,0.5156777221197166,0.15324041355828227,0.34306303503531116,0.9230814235278848,2,SVM-RBF,temperature,0.4193144972662102
0.12458932151235824,0.5566748202617542,0.13565641305221723,0.3989032067140278,0.9524135865962404,2,RandomForest,none,
0.1883824568877937,0.663891740270939,0.18840841445362344,0.6114473416473304,0.9524137661814345,2,RandomForest,platt,
0.17176951983478944,0.6105327863399641,0.17704777784977152,0.5551133645803189,0.8741541618951103,2,RandomForest,isotonic,
0.17401763869000278,0.6144616274286913,0.1787063428292229,0.554857870210711,0.9345703173596851,2,RandomForest,temperature,0.21714522439341769
0.12369766202667912,0.5793175253192341,0.14472873450980286,0.3988876097810289,0.9305713540025685,2,MLP,none,
0.13206549983190058,0.5793645123068901,0.14879554690518945,0.4145513488909581,0.9305713540025685,2,MLP,platt,
0.15625621270096052,0.6313732886796738,0.1621703106845553,0.4892362922034324,0.9208373894912766,2,MLP,isotonic,
0.1337363611785986,0.5890828343977894,0.14992516381521817,0.4251497518507024,0.9305975160187298,2,MLP,temperature,0.8042072896396325
0.13147623815108206,0.5117955736388127,0.14476509392261505,0.3879428505897522,0.9463819453063006,2,XGBoost,none,
0.14957814407572145,0.46995923326553307,0.15998054182239338,0.41959254997578677,0.9463819453063006,2,XGBoost,platt,
0.15204692426727182,0.4689973938961134,0.16122777738257205,0.42167149567307854,0.8561309391287967,2,XGBoost,isotonic,
0.150539376389724,0.46347072381543897,0.15975252710975388,0.41543009178339646,0.9292639718208371,2,XGBoost,temperature,0.31245927419542485
0.19017783361015805,0.5019944557434887,0.14787049835391994,0.28639917869706677,0.9420923741164191,3,QSVM,none,
0.1393665322284186,0.4945864445212886,0.150788705937586,0.3971578928235018,0.9420923741164191,3,QSVM,platt,
0.14164734173514837,0.49001911972196655,0.1435312547461219,0.35960894238478,0.9226988747430338,3,QSVM,isotonic,
0.14430316194404028,0.504404119364802,0.15361108810311958,0.40685143436975085,0.9420923741164191,3,QSVM,temperature,0.2932922163005129
0.18265583298411023,0.5503400672999503,0.14025929840447188,0.32582929479617284,0.9339783003573601,3,SVM-RBF,none,
0.14670402435767038,0.5860377644115136,0.15681378463849227,0.3997500801275572,0.9339783003573601,3,SVM-RBF,platt,
0.12812775851146016,0.5245172024534656,0.13662161918119572,0.31201114669144697,0.9240693248965108,3,SVM-RBF,isotonic,
0.1580890551776708,0.6175302521983966,0.16378036088085313,0.43653097806950136,0.9339783003573601,3,SVM-RBF,temperature,0.4440826042797819
0.1302369474192268,0.581609513485611,0.13535875564873348,0.4280281140678292,0.9526896384226681,3,RandomForest,none,
0.18713481765185502,0.7069129099757432,0.19024585982177666,0.673278598662005,0.9526896384226681,3,RandomForest,platt,
0.18594190654250892,0.6984949307050701,0.18768779774070518,0.6625184674861178,0.8684045832112708,3,RandomForest,isotonic,
0.17238050221610968,0.6471954719919462,0.17235931491266382,0.590664562732764,0.9396209873047314,3,RandomForest,temperature,0.20862742823101157
0.09969208281723066,0.5049048794654317,0.1288811458130493,0.29544675199023024,0.9401804651414881,3,MLP,none,
