run,kernel,C,f1,f1_macro,balanced_accuracy,precision,recall,accuracy,tn,fp,fn,tp,degenerate
2,poly,0.5623413252,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,1.0,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,1.77827941,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,3.1622776602,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,5.6234132519,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,10.0,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,17.7827941004,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,31.6227766017,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,56.234132519,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,poly,100.0,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,rbf,0.001,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.0017782794,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.0031622777,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.0056234133,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.01,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.0177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.0316227766,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.0562341325,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.1,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.316227766,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
2,rbf,0.5623413252,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,rbf,1.0,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,rbf,1.77827941,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,rbf,3.1622776602,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,rbf,5.6234132519,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,rbf,10.0,0.7716535433070866,0.6871966346672419,0.6861861861861862,0.765625,0.7777777777777778,0.71,22,15,14,49,False
2,rbf,17.7827941004,0.784,0.712,0.7132132132132132,0.7903225806451613,0.7777777777777778,0.73,24,13,14,49,False
2,rbf,31.6227766017,0.784,0.712,0.7132132132132132,0.7903225806451613,0.7777777777777778,0.73,24,13,14,49,False
2,rbf,56.234132519,0.784,0.712,0.7132132132132132,0.7903225806451613,0.7777777777777778,0.73,24,13,14,49,False
2,rbf,100.0,0.7596899224806202,0.6615351020853806,0.6591591591591592,0.7424242424242424,0.7777777777777778,0.69,20,17,14,49,False
3,quantum,0.001,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.0017782794,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.0031622777,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.0056234133,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.01,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.0177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.0316227766,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.0562341325,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.1,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.177827941,0.7730061349693251,0.38650306748466257,0.5,0.63,1.0,0.63,0,37,0,63,True
3,quantum,0.316227766,0.7777777777777778,0.41520467836257313,0.5135135135135135,0.6363636363636364,1.0,0.64,1,36,0,63,False
3,quantum,0.5623413252,0.7924528301886793,0.4937873907040957,0.5540540540540541,0.65625,1.0,0.67,4,33,0,63,False
3,quantum,1.0,0.802547770700637,0.5408087690712488,0.5810810810810811,0.6702127659574468,1.0,0.69,6,31,0,63,False
3,quantum,1.77827941,0.802547770700637,0.5408087690712488,0.5810810810810811,0.6702127659574468,1.0,0.69,6,31,0,63,False
3,quantum,3.1622776602,0.8082191780821918,0.6448503297818367,0.6439296439296439,0.7108433734939759,0.9365079365079365,0.72,13,24,4,59,False
3,quantum,5.6234132519,0.8028169014084507,0.6600291403593979,0.6550836550836551,0.7215189873417721,0.9047619047619048,0.72,15,22,6,57,False
3,quantum,10.0,0.7943262411347518,0.6514004087029691,0.6471471471471472,0.717948717948718,0.8888888888888888,0.71,15,22,7,56,False
3,quantum,17.7827941004,0.7913669064748201,0.6579785352046232,0.6527241527241527,0.7236842105263158,0.873015873015873,0.71,16,21,8,55,False
